Category,Item,Percentage
Major,Food Total,46.38
Major,Non-Food Total,53.62
Food,Cereals & Cereal Substitutes,4.91
Food,Pulses & Products,2.01
Food,Sugar & Salt,0.93
Food,Milk & Milk Products,8.33
Food,Vegetables,5.38
Food,Fruits,3.71
Food,"Egg, Fish & Meat",4.91
Food,Edible Oil,3.59
Food,Spices,2.98
Food,Beverages & Processed Food,9.62
Non-Food,"Pan, Tobacco & Intoxicants",3.79
Non-Food,Fuel and Light,6.66
Non-Food,Education,3.30
Non-Food,Medical,7.13
Non-Food,Conveyance,7.55
Non-Food,Consumer Services,5.08
Non-Food,Misc. Goods & Entertainment,6.21
Non-Food,Rent,0.78
Non-Food,Taxes and Cesses,0.13
Non-Food,"Clothing, Bedding & Footwear",6.10
Non-Food,Durable Goods,6.89
